title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
More bombs explode in Bangkok,Karen Percy (Reporter); Peter Cave,2007-01-01,ABC Radio. AM,Two people have been killed and more than 30 injured in a series of New Years Eve bombings in the Thai capital Bangkok Nine foreigners were among the wounded when six bombs were detonated early in t,Sonthi Boonyaratglin;  General Surayud Chulanont; ; Defence and National Security -- Defence Forces Government and Politics -- Federal Government Unrest;  Conflict and War Unrest; Conflict and War -- Terrorism,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s1820828.htm,http://trove.nla.gov.au/version/205228174
Saddam death video raises impartiality questions,Matt Brown (Reporter); Peter Cave,2007-01-01,ABC Radio. AM,A new video posted on the internet shows his executioners taunting Saddam Hussein moments before he was executed One witness shouted praise for the radical Shiite leader Moqtada al-Sadr whose mil,saddam hussein;  chief prosecutor;  video;  cell phones;  exevcution;  hanging;  Hassan al-Bazzaz; Community and Society -- Death Law;  Crime and Justice -- Judges and Legal Profession Law;  Crime and Justice -- Prisons and Punishment Law; Crime and Justice -- Rights -- Human,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s1820835.htm,http://trove.nla.gov.au/version/205228175
Veteran reporter reflects on Saddam execution,Peter Lewis (Reporter); Peter Cave,2007-01-01,ABC Radio. AM,Veteran correspondent Peter Arnett has been recognised in New Zealands New Years honours list for a long and distinguished career covering major assignments around the world Peter Arnett was sacked,saddam hussein;  execution;  hanging;  peter arnett; ; Community and Society -- Death Information and Communication -- Journalism Law;  Crime and Justice -- Judges and Legal Profession Law; Crime and Justice -- Prisons and Punishment,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s1820840.htm,http://trove.nla.gov.au/version/205228176
Fraser can't recall Hawke assassination plot papers,Chris Uhlmann (Reporter); Peter Cave,2007-01-01,ABC Radio. AM,Its 30 years since that secret file containing the plot to kill Bob Hawke was handed to Cabinet The then Prime Minister Malcolm Fraser says he has absolutely no memory of it but he does recall the,bob hawke;  asio;  abou rish;  sam lipski;  isi leibler;  assassination;  palestinian;  malcolm fraser; ; Defence and National Security -- Security Intelligence Unrest; Conflict and War -- Terrorism,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s1820870.htm,http://trove.nla.gov.au/version/205228178
Territory gets highway speed limit,Anne Barker (Reporter); Peter Cave,2007-01-01,ABC Radio. AM,For decades the Northern Territory has been the only place in Australia with an open speed limit on major highways but no more The highest speed limit is now 130 kilometres an hour and as Anne Bar,speed limit;  didier palmer;  chris burns;  Gwyn Delaney; Business; Economics and Finance -- Industry -- Road Transport Disasters and Accidents -- Accidents -- Road Government and Politics -- States and Territories,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s1820876.htm,http://trove.nla.gov.au/version/205228180
Documents reveal Hawke assassination plot,Graeme Dobell (Reporter); Peter Cave,2007-01-01,ABC Radio. AM,Secret documents released today reveal a plot 30 years ago to assassinate ACTU President Bob Hawke before he went on to be Prime Minister The Cabinet documents show a Palestinian death squad was pla,bob hawke;  asio;  abou rish;  sam lipski;  isi leibler;  assassination;  palestinian; ; Defence and National Security -- Security Intelligence Unrest; Conflict and War -- Terrorism,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s1820848.htm,http://trove.nla.gov.au/version/205228177
Company puts frothy spin on Indonesian mud volcano,Geoff Thompson (Reporter); Peter Cave,2007-01-01,ABC Radio. AM,Indonesias President has ordered more than half a billion dollars to be paid to correct damage wrought by the mud volcano which has displaced 13 000 people in East Java The major Australian gas and,mud volcano;  santos;  Martyn Eames;  Sidoarjo;  Lapindo; ; Business;  Economics and Finance -- Industry -- Mining Business; Economics and Finance -- Industry -- Oil and Gas Disasters and Accidents -- Emergency Incidents Disasters and Accidents -- Landslide,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s1820872.htm,http://trove.nla.gov.au/version/205228179
Darwin Award winners announced,Karen Barlow (Reporter); Peter Cave,2007-01-01,ABC Radio. AM,Its the award that nobody wants to win yet hundreds possibly thousands of candidates pop up each year The Darwin Awards salute improvements to the human gene pool by praising certain individuals,darwin awards;  wendy northcutt;  light sabre; ; Human Interest -- Awards and Prizes Human Interest -- Offbeat,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s1820889.htm,http://trove.nla.gov.au/version/205228182
Qld farmers angry at new land clearing laws,Lisa Millar (Reporter); Peter Cave,2007-01-01,ABC Radio. AM,Queensland farmers are waking to new laws that stop them clearing mature bushland on their properties and theyre furious The State Government gave them two years to get used to the changes but the,Barry Traill;  leslie shirreffs;  Brett de Hayr;  peter beattie; ; Environment -- Land Clearing Government and Politics -- States and Territories Rural -- Agricultural Policy Rural -- Community Development,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s1820879.htm,http://trove.nla.gov.au/version/205228181
"US death toll in Iraq hits 3,000",Mark Simkin (Reporter); Peter Cave,2007-01-02,ABC Radio. AM,In the United States President George Bush has yet to come up with a new strategy for Iraq While the headlines have been dominated by the execution of Saddam Hussein the number of American dead has,Dustin Donica;  Janet and Kendall Arnold;  George W Bush;  Iraq War;  Frederick Kagan;  American Enterprise Institute; Government and Politics Unrest; Conflict and War,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s1820218.htm,http://trove.nla.gov.au/version/205228165
