title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
Sounds of Summer: Opera House,Paula Kruger (Reporter); Elizabeth Jackson,2007-01-01,ABC Radio. PM,As part of the ABCs summer season we now present a Current Affairs Special The Sydney Opera House is the most recognisable symbol of modern Australia and there are efforts to have it voted as one,opera house;  Bent Flyvbjerg;  jorn utzon;  David McAllister;  Adrian Collette;  mario cesca;  Andrew Snell; ; Arts and Entertainment -- Design -- Architecture Arts and Entertainment -- Opera and Musical Theatre Community and Society -- History -- 20th Century Human Interest -- Offbeat,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2006/s1821342.htm,http://trove.nla.gov.au/version/205375461
Sounds of Summer: Geoff Gallop profile,Maxine McKew (Reporter); Elizabeth Jackson,2007-01-02,ABC Radio. PM,As part of the ABCs Summer Season we now present a Current Affairs Special Former West Australian Premier Geoff Gallop surprised many when he quit his job and announced that he was battling with se,Geoff Gallop;  Bob Carr;  Geraldton;  Rhodes Scholarship;  Senator Alan Missen;  West Australian government; Government and Politics Human Interest -- People,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2006/s1820322.htm,http://trove.nla.gov.au/version/205375460
Sounds of Summer: International Rules Series,Nance Haxton (Reporter); Elizabeth Jackson,2007-01-03,ABC Radio. PM,As part of the ABCs summer season we now present a Current Affairs Special Its rare in the sporting world for an international series to be cancelled However a concept thats had millions of do,Sean Boylan;  gaa;  international rules series;  gaelic football;  australian rules football;  Billy Keane;  Nickey Brennan;  Patrick Keane;  Andrew Demetriou;  Kevin Sheedy;  Michael Voss;  Tadhg Kennelly;  Noel Kennelly; ; Community and Society -- Race Relations Sport -- Australian Football League Sport -- Other Sports,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2006/s1821003.htm,http://trove.nla.gov.au/version/205375459
Sounds of Summer: Donning the veil,Kathryn Roberts (Reporter); Elizabeth Jackson,2007-01-04,ABC Radio. PM,As part of the ABCs summer season we now present a Current Affairs Special Not since the introduction of the miniskirt has an item of womens clothing caused such a stir but the Islamic headscarf,veil;  veiling;  niqab;  hijab;  Taj el-Din al-Hilali;  keysar trad;  Samina Yasmeen;  Gary Bouma;  Sister Patricia Wittberg;  Rachel Pickering;  jack straw;  mouna; ; Community and Society -- Religion and Beliefs Community and Society -- Religion and Beliefs -- Islam Community and Society -- Women,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2006/s1821337.htm,http://trove.nla.gov.au/version/205375458
Sounds of Summer: Gertrude Bell,Jane Hutcheon (Reporter); Elizabeth Jackson,2007-01-05,ABC Radio. PM,As part of the ABCs summer season we now present a Current Affairs Special After the First World War Iraqis revolted against a British occupation which hadnt moved fast enough to create an indep,gertrude bell;  mesopotamia;  Eugene Rogan;  Joan Porter MacIver;  baghdad museum;  Ali Allawi;  king faisal;  lawrence of arabia;  Georgina Howell; ; Arts and Entertainment -- Library Museum and Gallery Community and Society -- History -- 20th Century Community and Society -- History Community and Society -- Leadership,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2006/s1821986.htm,http://trove.nla.gov.au/version/205375457
Downer will support more US troops in Iraq,Gillian Bradford (Reporter); Lisa Millar,2007-01-08,ABC Radio. PM,The Foreign Affairs Minister Alexander Downer has indicated he would support a US decision to drastically boost troop numbers in Iraq if the generals on the ground think thats what it will take,Alexander Downer;  Iraq;  troop numbers; Defence and National Security -- Defence Forces Government and Politics -- Foreign Affairs Government and Politics -- World Politics Unrest; Conflict and War,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2007/s1823367.htm,http://trove.nla.gov.au/version/205375451
Oil prices fall due to mild US winter,Emma Alberici (Reporter); Lisa Millar,2007-01-08,ABC Radio. PM,Motorists are enjoying a happy new year with oil prices plunging in the first few days of 2007 Crude oil dropped 10 per cent last week to below $US 55 a barrel for the first time since 2005 The sh,oil;  fuel;  Martin Arnold;  Amanda Bolger;  Richard Gibbs; Business; Economics and Finance -- Industry -- Oil and Gas Weather,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2007/s1823379.htm,http://trove.nla.gov.au/version/205375453
Record co's make big bucks on ring tones,Jennifer Macey (Reporter); Lisa Millar,2007-01-08,ABC Radio. PM,They can drive you mad but those musical ringtones on mobile phones are making others lots of money The ringtone market in Australia alone is estimated to be worth $50-million a year Now that mobil,apra;  ring tones;  mobile phones;  richard mallett;  mark brennan; Arts and Entertainment -- Music Business; Economics and Finance -- Industry -- Music Information and Communication -- Mobile Phones,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2007/s1823386.htm,http://trove.nla.gov.au/version/205375455
Coalition in Iraq builds case against detained Adelaide man,Nance Haxton (Reporter); Lisa Millar,2007-01-08,ABC Radio. PM,Its been confirmed that the Australian detained in Iraq since October last year is Adelaide man Warya Kanie Mr Kanie was arrested in Baghdad and is being held in Camp Cropper awaiting the outcome o,Warya Kanie;  Alexander Downer;  mosques;  Camp Cropper; Law;  Crime and Justice -- Courts and Trials Law;  Crime and Justice -- International Law Law;  Crime and Justice -- Prisons and Punishment Unrest; Conflict and War,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2007/s1823373.htm,http://trove.nla.gov.au/version/205375452
SA's grape growers lose crops in snap storm,Bronwen Fleming (Reporter); Lisa Millar,2007-01-08,ABC Radio. PM,Farmers in South Australias Riverland are today counting the cost of a sudden storm that raced across the region leaving behind damaged properties and dashing their hopes that 2007 was going to be k,Carl Cripps;  South Australia Riverland;  Neil Kernich;  Jan Minnas; Disasters and Accidents -- Storm Rural Rural -- Farm Labour Weather -- Storm,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2007/s1823385.htm,http://trove.nla.gov.au/version/205375454
