title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
Specialists enter SA fire ground to determine extent of destruction,Eleanor Hall; Natalie Whiting (Reporter),2015-01-05,ABC Radio. The World Today,"Police and firefighters are still trying to work out exactly how many houses have been lost in a bushfire burning in South Australia. Thirteen houses have now been confirmed as destroyed and specialty teams are entering the fire ground to try to identify others, though it's thought that more than 30 houses may have been lost. As the Federal Government looks at how it spends money trying to mitigate disasters, the South Australian Premier Jay Weatherill says little could have been done to prevent the blaze.",south australia;  bushfire;  homes;  destroyed;  victoria; jay weatherill; Disasters and Accidents -- Fires -- Bushfire,Australian Broadcasting Corporation,Copyright 2015 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2014/s4157671.htm,http://trove.nla.gov.au/version/210508784
Luke Foley elected unopposed as NSW Opposition Leader three months from election,Eleanor Hall; Lexi Metherell (Reporter),2015-01-05,ABC Radio. The World Today,"With less than three months until New South Wales goes to the polls, the Labor opposition has just given itself the Herculean task of acquainting voters with a new, little-known leader. The Labor caucus has today elected Luke Foley to replace John Robertson, who resigned over a letter he'd written on behalf of the Sydney siege gunman. The state's Liberal-led Government retains a commanding lead this election, despite having lost a premier and nine MPs resigning or going to the crossbench as a result of corruption investigations.",luke foley;  new south wales;  labor;  alp;  mike baird;  john robertson; Government and Politics -- Political Parties -- Alp,Australian Broadcasting Corporation,Copyright 2015 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2014/s4157674.htm,http://trove.nla.gov.au/version/210508786
Eight men presumed dead after cargo ship sinks off the coast of Scotland,Eleanor Hall; Sarah Sedghi (Reporter),2015-01-05,ABC Radio. The World Today,"In the world's latest maritime mystery, a large cargo ship, with only its bow visible above the water was seen drifting in seas off the Scottish coast - its crew of eight nowhere to be seen. Despite a swift search and rescue effort, it's still not known what happened to the concrete carrier, which has since slipped beneath the waves and disappeared.",cargo;  scotland;  scottish coast;  concrete carrier;  crew; ghost ship; Disasters and Accidents -- Accidents -- Maritime,Australian Broadcasting Corporation,Copyright 2015 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2014/s4157672.htm,http://trove.nla.gov.au/version/210508785
"Govt backbencher breaks ranks, calls for broadening of GST",Eleanor Hall; Alexandra Kirk (Reporter),2015-01-05,ABC Radio. The World Today,"Federal Liberal MP Dan Tehan has broken ranks with his Government colleagues by calling for a broadening of the Goods and Services Tax. The backbencher says applying the GST more broadly could raise an extra $22 billion a year, which would enable serious tax relief for companies and individual taxpayers.",dan tehan;  goods and services tax;  gst;  broaden; white paper; Government and Politics -- Tax,Australian Broadcasting Corporation,Copyright 2015 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2014/s4157675.htm,http://trove.nla.gov.au/version/210508787
Australian dollar hits five year low,Eleanor Hall; Sue Lannin (Reporter),2015-01-05,ABC Radio. The World Today,"The Australian dollar is at its lowest level in more than five years due to a strong Greenback and weakness in the Euro. The Australian dollar dropped from above 81 US cents to a low of around 80.5 US cents this morning. It's good news for exporters, as new figures show that the manufacturing industry is contracting.",dollar;  australian;  us;  euro;  manufacturing;  export; five years; Business; Economics and Finance -- Markets -- Currency,Australian Broadcasting Corporation,Copyright 2015 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2014/s4157677.htm,http://trove.nla.gov.au/version/210508788
"Over 16,000 Australians sign up for aspirin trial ",Eleanor Hall; Pat McGrath (Reporter),2015-01-05,ABC Radio. The World Today,"One of the biggest ever studies into the positive effects of aspirin has attracted far more participants than researchers were expecting. It is being described as a mega-trial, and 16,000 Australians aged over 70 have signed up to take the drug every day. And the team behind the study hopes to provide answers about aspirin's true value in preventative medicine within three years.",aspirin;  medicine;  medical trials;  heart disease;  cancer; health; Health -- Medical Research,Australian Broadcasting Corporation,Copyright 2015 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2014/s4157678.htm,http://trove.nla.gov.au/version/210508789
Snap Queensland election on January 31st,Eleanor Hall; Nance Haxton (Reporter),2015-01-06,ABC Radio. The World Today,"The Queensland Premier Campbell Newman has caught many Queenslanders on holidays by surprise by announcing an early election on January 31st. It wasn't expected until March, leaving voters and the opposition scrambling to get ready for an election campaign.<BR>",election;  Queensland;  Campbell Newman;  Anastacia Palaszczuk;  Labor;  LNP;  Clive Palmer; Paul Williams; Government and Politics -- Elections,Australian Broadcasting Corporation,Copyright 2015 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2014/s4158190.htm,http://trove.nla.gov.au/version/210510755
Polls show Queensland Labor is in with a chance,Eleanor Hall; Nick Grimm (Reporter),2015-01-06,ABC Radio. The World Today,"Despite Queensland Labor's massive rout at the hands of Campbell Newman at the last state election three years ago, polls are now showing that Labor is back within striking distance of a win this year. The World Today's Nick Grimm spoke to ABC's Election Analyst, Antony Green for more on the upcoming election.",queensland;  election;  queensland labor;  Campbell newman; antony green; Government and Politics -- Elections,Australian Broadcasting Corporation,Copyright 2015 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2014/s4158213.htm,http://trove.nla.gov.au/version/210510756
One in 10 people sleeping rough in Melbourne are war veterans,Eleanor Hall; Pat McGrath (Reporter),2015-01-06,ABC Radio. The World Today,"New research by a Melbourne charity has found that almost one in 10 people who sleep rough in the city each night are Australian war veterans. The homelessness support organisation 'Homeground' says most have served in Iraq or Afghanistan. It wants the federal Department of Veterans Affairs to find secure housing for any returned soldiers, sailors and airmen who have nowhere else to go. But the RSL says many of the veterans suffer from mental illness, or are otherwise unwilling accept help.",veterans;  homelessness;  war;  rsl; mental illness; Defence and National Security -- Veterans,Australian Broadcasting Corporation,Copyright 2015 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2014/s4158187.htm,http://trove.nla.gov.au/version/210510758
Adelaide community rallies around fire victims,Eleanor Hall; Natalie Whiting (Reporter),2015-01-06,ABC Radio. The World Today,"As firefighters continue to battle an out of control fire burning near Adelaide, the community is rallying to support those affected. At least 26 homes have been destroyed and hundreds of people have been evacuated at different times over the last four days. People have opened their paddocks up to house stock that have had to be moved and one hotel is offering free accomodation. Already, more than 800 people have registered to volunteer with the clean up.",fire;  bushfires;  South Australia;  volunteer;  emergency;  RSPCA;  CFS;  Greg Nettleton; Adelaide; Disasters and Accidents -- Fires -- Bushfire,Australian Broadcasting Corporation,Copyright 2015 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2014/s4158189.htm,http://trove.nla.gov.au/version/210510760
Euro falls to lowest level since 2006 against US dollar,Eleanor Hall; Sue Lannin (Reporter),2015-01-06,ABC Radio. The World Today,"Greeks will go to the polls later this month and there are concerns that Greece may leave the Eurozone, the European currency union. Overnight the Euro currency fell to its lowest point in nearly nine years against the greenback. The plunge and a big fall in the price of oil sent shockwaves through global sharemarkets.",Richard Grace;  Justin Urquhart Stewart;  Euro;  US dollar;  Greece; Europe; Business; Economics and Finance -- Money and Monetary Policy,Australian Broadcasting Corporation,Copyright 2015 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2014/s4158192.htm,http://trove.nla.gov.au/version/210510757
Fears women at risk are attempting 'self-abortion',Eleanor Hall; Alison Branley (Reporter),2015-01-06,ABC Radio. The World Today,"There's growing concern women are putting themselves in danger by attempting to terminate unwanted pregnancies at home without medical supervision. For the first time, a Queensland-based advocacy service has documented the reports it's received about cases of attempted 'self-abortion'. It told a Federal Government inquiry into domestic violence that controlling partners and difficulties accessing abortions are often to blame.",abortion;  domestic violence;  children by choice; inquiry; Health -- Reproduction and Contraception -- Abortion,Australian Broadcasting Corporation,Copyright 2015 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2014/s4158186.htm,http://trove.nla.gov.au/version/210510759
Federal Opposition concerned about new temporary skilled work visa plan,Nick Grimm (reporter); Nick Grimm (compere),2015-01-07,ABC Radio. The World Today,The Department of Immigration says the new skilled visa category is part of proposal paper only at present and that the Government would not comment on it prior to public submissions closing at the e,immigration; 457 Visas; unions; Richard Marles; skilled workers; immigration department; Community and Society--Immigration,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2014/s4158754.htm,http://trove.nla.gov.au/version/210515486
Unions slam new short term visa plan for skilled foreign workers,Sue Lannin (reporter); Nick Grimm (compere),2015-01-07,ABC Radio. The World Today,The nations peak union body has slammed a plan by the Immigration Department to make it easier to allow skilled foreign workers to come to Australia A new paper from the Department proposes a new sh,Kate Carnell; Ged Kearney; Stephen Durkin; industrial relations; skilled migration; economy; employment; Community and Society--Immigration,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2014/s4158671.htm,http://trove.nla.gov.au/version/210515485
